Wavelength_1,Abs_1,Wavelength_2,Abs_2,Wavelength_3,Abs_3,Wavelength_4,Abs_4
1150,0.016555302,1150,0.01654936,1150,0.018301612,1150,0.027758544
1149,0.016561676,1149,0.016568722,1149,0.018455377,1149,0.027866287
1148,0.016527282,1148,0.016517628,1148,0.018348919,1148,0.027755398
1147,0.016548794,1147,0.01654035,1147,0.018353483,1147,0.027796876
1146,0.016683863,1146,0.016639078,1146,0.018473124,1146,0.027928339
1145,0.016740223,1145,0.016757602,1145,0.018542223,1145,0.027998684
1144,0.016774794,1144,0.016788732,1144,0.018571103,1144,0.028021682
1143,0.016743263,1143,0.016731586,1143,0.018536145,1143,0.028049819
1142,0.016720852,1142,0.016694006,1142,0.018510481,1142,0.028018812
1141,0.016790265,1141,0.016778938,1141,0.018611062,1141,0.028091351
1140,0.016816016,1140,0.016822824,1140,0.018627733,1140,0.02818078
1139,0.016778696,1139,0.016630659,1139,0.018657053,1139,0.028216027
1138,0.016688168,1138,0.016773315,1138,0.018451137,1138,0.02803212
1137,0.01700853,1137,0.016978893,1137,0.018796265,1137,0.028309183
1136,0.016979216,1136,0.016991006,1136,0.01880151,1136,0.028356984
1135,0.017207595,1135,0.017171642,1135,0.01893428,1135,0.02850653
1134,0.01723364,1134,0.017204955,1134,0.019046942,1134,0.028636137
1133,0.017209103,1133,0.017221412,1133,0.019028064,1133,0.028625298
1132,0.017134938,1132,0.017155996,1132,0.018999856,1132,0.028564584
1131,0.017076643,1131,0.017115766,1131,0.018909514,1131,0.02853857
1130,0.017215082,1130,0.017175924,1130,0.019008078,1130,0.028666995
1129,0.017363776,1129,0.017350413,1129,0.019183412,1129,0.028807741
1128,0.017436417,1128,0.017430274,1128,0.019272244,1128,0.028919838
1127,0.017617131,1127,0.017593302,1127,0.019413305,1127,0.029133104
1126,0.017600633,1126,0.017582115,1126,0.019393384,1126,0.029054604
1125,0.017669944,1125,0.017626997,1125,0.019458216,1125,0.029125297
1124,0.017537532,1124,0.017604111,1124,0.019399013,1124,0.029086655
1123,0.01759473,1123,0.017609905,1123,0.019455943,1123,0.029176898
1122,0.017822273,1122,0.017837754,1122,0.019642212,1122,0.029360488
1121,0.017772568,1121,0.017751561,1121,0.0195565,1121,0.02927652
1120,0.017747436,1120,0.017731095,1120,0.019534105,1120,0.029256528
